Year,Player,Pos.,FTeam,NTeam,Type,Snaps,Age,Current APY,Guarantees
2001,Troy Aikman,QB,Cowboys,,SFA,0%,35,10750000,13000000
2001,Brett Favre,QB,Packers,Packers,Signed,0%,32,11514286,11000000
2001,John Randle,43DT,Vikings,Seahawks,Signed,0%,34,5000000,5000000
2001,Tony Boselli,LT,Jaguars,Jaguars,Signed,0%,29,5375000,7000000
2001,Levon Kirkland,ILB,Steelers,Seahawks,Signed,0%,32,2500000,2300000
2001,Jerry Rice,WR,49ers,Raiders,Signed,0%,39,1350000,750000
2001,Randy Moss,WR,Vikings,Vikings,Signed,0%,,9076571,10000000
2001,Phil Dawson,K,Browns,Browns,Signed,0%,26,389000,0
2002,Michael Strahan,43DE,Giants,Giants,Signed,0%,31,6383000,15598000
2002,Terrell Davis,RB,Broncos,,SFA,0%,30,7800000,11000000
2002,Curtis Martin,RB,Jets,Jets,Signed,0%,29,5204845,10000000
2002,Donovan McNabb,QB,Eagles,Eagles,Signed,0%,,8398529,13500000
2002,Tony Boselli,LT,Jaguars,Texans,Signed,0%,30,5375000,7000000
2002,Kevin Mawae,C,Jets,Jets,Signed,0%,31,3550000,7000000
2002,Levon Kirkland,ILB,Seahawks,Eagles,Signed,0%,33,750000,0
2002,Walter Jones,LT,Seahawks,Seahawks,Signed,0%,28,4920000,4920000
2002,Jerry Rice,WR,Raiders,Raiders,Signed,0%,40,1750000,900000
2002,Tony Gonzalez,TE,Chiefs,Chiefs,Signed,0%,26,4300000,10000000
2002,Alan Faneca,LG,Steelers,Steelers,Signed,0%,26,4918000,6000000
2002,Adam Vinatieri,K,Patriots,Patriots,Signed,0%,30,1791667,5375000
2002,Phil Dawson,K,Browns,Browns,Signed,0%,27,782500,800000
2002,Tom Brady,QB,Patriots,Patriots,Signed,0%,25,7531250,9500000
2002,Shane Lechler,P,Raiders,Raiders,Signed,0%,26,1333333,1000000
2003,Emmitt Smith,RB,Cowboys,Cardinals,Signed,0%,34,3750000,2500000
2003,Tony Boselli,LT,Texans,,,0%,31,5375000,7000000
2003,John Randle,43DT,Seahawks,Seahawks,Signed,0%,36,4333333,0
2003,Walter Jones,LT,Seahawks,Seahawks,Signed,0%,29,5904000,5904000
2003,John Lynch,S,Buccaneers,,SFA,0%,32,4820000,5600000
2003,Orlando Pace,LT,Rams,Rams,Signed,0%,28,5734000,5734000
2003,Jerry Rice,WR,Raiders,Raiders,Signed,0%,41,4874833,1200000
2003,Levon Kirkland,ILB,Eagles,,UFA,0%,34,750000,0
2003,James Harrison,34OLB,Steelers,,SFA,0%,25,225000,0
2004,Peyton Manning,QB,Colts,Colts,Signed,0%,28,14000000,34500000
2004,Jonathan Ogden,LT,Ravens,Ravens,Signed,0%,30,8333333,14351470
2004,Warren Sapp,43DT,Buccaneers,Raiders,Signed,0%,32,5228571,4500000
2004,Michael Vick,QB,Falcons,Falcons,Signed,0%,24,13571429,30000000
2004,Walter Jones,LT,Seahawks,Seahawks,Signed,0%,30,7084800,7084800
2004,Orlando Pace,LT,Rams,Rams,Signed,0%,29,7021000,7021000
2004,Jerry Rice,WR,Raiders,Seahawks,Signed,0%,42,4874833,1200000
2004,John Randle,43DT,Seahawks,,SFA,0%,37,4333333,0
2004,LaDainian Tomlinson,RB,Chargers,Chargers,Signed,0%,25,8000000,16540000
2004,Champ Bailey,CB,Redskins,Broncos,Signed,0%,26,9004575,6000000
2004,Sebastian Janikowski,K,Raiders,Raiders,Signed,0%,26,2100000,1500000
2004,Chad Pennington,QB,Jets,Jets,Signed,0%,28,9171143,18000000
2004,Clinton Portis,RB,Broncos,Redskins,Signed,0%,23,8194167,13000000
2004,Steve Smith,WR,Panthers,Panthers,Signed,0%,25,4416667,7500000
2004,Matt Bryant,K,Giants,,SFA,0%,29,301667,0
2005,Randy Moss,WR,Vikings,Raiders,Signed,0%,,9250000,7085000
2005,Tom Brady,QB,Patriots,Patriots,Signed,0%,28,12000000,26500000
2005,Ty Law,CB,Patriots,Jets,Signed,0%,31,6508571,0
2005,Walter Jones,LT,Seahawks,Seahawks,Signed,0%,31,7500000,16000000
2005,Orlando Pace,LT,Rams,Rams,Signed,0%,30,7557143,15000000
2005,Carson Palmer,QB,Bengals,Bengals,Signed,0%,26,16166667,24000000
2005,Jerry Rice,WR,Seahawks,,SFA,0%,43,4874833,1200000
2005,Emmitt Smith,RB,Cardinals,,UFA,0%,36,3750000,2500000
2005,Kellen Winslow,TE,Browns,Browns,Signed,0%,22,3933712,4412500
2005,Adam Vinatieri,K,Patriots,Patriots,Signed,0%,33,2509000,2509000
2005,Shaun Alexander,RB,Seahawks,Seahawks,Signed,0%,28,6323000,6323000
2005,Drew Brees,QB,Chargers,Chargers,Signed,0%,26,8078000,8078000
2005,Phil Dawson,K,Browns,Browns,Signed,0%,30,1400000,1600000
2005,Anquan Boldin,WR,Cardinals,Cardinals,Signed,0%,25,5665000,5000000
2005,Luke McCown,QB,Browns,Buccaneers,Signed,0%,24,495000,550000
2005,Josh McCown,QB,Cardinals,Cardinals,Signed,0%,26,1430000,0
2005,Shaun Hill,QB,Vikings,Vikings,Signed,0%,25,656000,0
2005,Tony Romo,QB,Cowboys,Cowboys,Signed,0%,25,940000,320000
2005,Antonio Gates,TE,Chargers,Chargers,Signed,0%,25,3750000,6380000
2005,Jon Dorenbos,LS,Bills,Titans,Signed,0%,25,380000,0
2005,Cullen Jenkins,43DT,Packers,Packers,Signed,0%,24,305000,0
2006,Edgerrin James,RB,Colts,Cardinals,Signed,0%,28,7500000,11500000
2006,Drew Brees,QB,Chargers,Saints,Signed,0%,27,10000000,8000000
2006,Ty Law,CB,Jets,Chiefs,Signed,0%,32,6000000,7000000
2006,Shaun Alexander,RB,Seahawks,Seahawks,Signed,0%,29,7710938,13500000
2006,Curtis Martin,RB,Jets,Jets,Signed,0%,33,3202500,0
2006,Kevin Mawae,C,Jets,Titans,Signed,0%,35,3250000,3940000
2006,John Lynch,S,Broncos,Broncos,Signed,0%,35,2827500,1550000
2006,Adam Vinatieri,K,Patriots,Colts,Signed,0%,34,2400000,3500000
2006,Richard Seymour,43DT,Patriots,Patriots,Signed,0%,,9326667,24600000
2006,Josh McCown,QB,Cardinals,Lions,Signed,0%,27,3000000,2000000
2006,Ed Reed,S,Ravens,Ravens,Signed,0%,28,6350333,7500000
2006,Tony Romo,QB,Cowboys,Cowboys,Signed,0%,26,3000000,2000000
2006,Jason Witten,TE,Cowboys,Cowboys,Signed,0%,24,4600000,12000000
2006,Shaun Hill,QB,Vikings,49ers,Signed,0%,26,590000,0
2006,Matt Bryant,K,Buccaneers,Buccaneers,Signed,0%,31,1380000,1500000
2006,Trent Cole,43DE,Eagles,Eagles,Signed,0%,24,5386400,6000000
2006,Jon Dorenbos,LS,Titans,Eagles,Signed,0%,26,547500,0
2006,Robert Mathis,43DE,Colts,Colts,Signed,0%,25,5000000,810000
2006,Cullen Jenkins,43DT,Packers,Packers,Signed,0%,25,425000,0
2006,Joe Berger,C,Dolphins,Cowboys,Signed,0%,24,290000,0
2006,James Harrison,34OLB,Steelers,Steelers,Signed,0%,28,1375000,1375000
2006,Jason Peters,LT,Bills,Bills,Signed,0%,24,4018750,2750000
2007,Randy Moss,WR,Raiders,Patriots,Signed,0%,,3000000,0
2007,Andre Johnson,WR,Texans,Texans,Signed,0%,26,7341667,15000000
2007,Steve Smith,WR,Panthers,Panthers,Signed,0%,28,10900000,9300000
2007,Tony Gonzalez,TE,Chiefs,Chiefs,Signed,0%,31,6250000,16000000
2007,Justin Smith,43DE,Bengals,Bengals,Signed,0%,28,8644000,8644000
2007,Curtis Martin,RB,Jets,,SFA,0%,34,3202500,0
2007,Tony Romo,QB,Cowboys,Cowboys,Signed,0%,27,11250000,11500000
2007,Josh McCown,QB,Lions,Raiders,Signed,0%,28,3000000,2000000
2007,Dwight Freeney,43DE,Colts,Colts,Signed,0%,27,12000000,15000000
2007,Daniel Graham,TE,Patriots,Broncos,Signed,0%,29,6000000,15000000
2007,Daryl Smith,ILB,Jaguars,Jaguars,Signed,0%,25,4800000,10000000
2007,Jon Dorenbos,LS,Eagles,Eagles,Signed,0%,27,907000,650000
2007,Frank Gore,RB,49ers,49ers,Signed,0%,24,6894250,13662000
2007,Randy Starks,43DT,Titans,Titans,Signed,0%,24,850000,0
2007,Matt Schaub,QB,Falcons,Texans,Signed,0%,26,8000000,7000000
2007,Cullen Jenkins,34DE,Packers,Packers,Signed,0%,26,4000000,5000000
2007,Robert Geathers,43DE,Bengals,Bengals,Signed,0%,24,5166667,12500000
2007,Jared Allen,43DE,Chiefs,Chiefs,Signed,0%,25,2350000,0
2007,Donnie Jones,P,Dolphins,Rams,Signed,0%,27,1117000,1175000
2007,Andy Lee,P,49ers,49ers,Signed,0%,25,1183333,1690000
2007,Ryan Fitzpatrick,QB,Rams,Bengals,Signed,0%,25,317750,28250
2007,Joe Berger,C,Cowboys,Cowboys,Signed,0%,25,435000,0
2008,Brett Favre,QB,Packers,Jets,Signed,0%,39,11514286,11000000
2008,Larry Fitzgerald,WR,Cardinals,Cardinals,Signed,0%,25,10000000,15000000
2008,Chad Pennington,QB,Jets,Dolphins,Signed,0%,32,4000000,3500000
2008,Justin Smith,43DE,Bengals,49ers,Signed,0%,29,7500000,20000000
2008,Jonathan Ogden,LT,Ravens,,,0%,34,8333333,14351470
2008,Clinton Portis,RB,Redskins,Redskins,Signed,0%,27,7686667,15756000
2008,Shaun Alexander,RB,Seahawks,,SFA,0%,31,7710938,13500000
2008,Ty Law,CB,Chiefs,Jets,Signed,0%,34,830000,0
2008,Warren Sapp,43DT,Raiders,,SFA,0%,36,5228571,4500000
2008,Alan Faneca,LG,Steelers,Jets,Signed,0%,32,8000000,15750000
2008,DeAngelo Hall,CB,Falcons,Redskins,Signed,0%,25,1000000,0
2008,Ben Roethlisberger,QB,Steelers,Steelers,Signed,0%,26,14664417,33200000
2008,Adam Jones,CB,Titans,Cowboys,Signed,0%,25,3325000,0
2008,Terence Newman,CB,Cowboys,Cowboys,Signed,0%,30,8366667,22500000
2008,Josh McCown,QB,Raiders,Panthers,Signed,0%,29,3125000,2500000
2008,Randy Moss,WR,Patriots,Patriots,Signed,0%,,9000000,15000000
2008,John Lynch,S,Broncos,,,0%,37,2827500,1550000
2008,Jordan Gross,LT,Panthers,Panthers,Signed,0%,28,7455000,7455000
2008,Jared Allen,43DE,Chiefs,Vikings,Signed,0%,26,12210012,15500069
2008,Terrell Suggs,34OLB,Ravens,Ravens,Signed,0%,26,8475000,8475000
2008,Will Smith,43DE,Saints,Saints,Signed,0%,27,10358333,14000000
2008,Aaron Rodgers,QB,Packers,Packers,Signed,0%,25,12704000,20000000
2008,Albert Haynesworth,43DT,Titans,Titans,Signed,0%,,7250003,7250003
2008,Steven Jackson,RB,Rams,Rams,Signed,0%,25,8619500,20500000
2008,Nnamdi Asomugha,CB,Raiders,Raiders,Signed,0%,27,9765000,9765000
2008,Karlos Dansby,ILB,Cardinals,Cardinals,Signed,0%,27,8065000,8065000
2008,Randy Starks,43DT,Titans,Dolphins,Signed,0%,25,4010000,5750000
2008,Anthony Fasano,TE,Cowboys,Dolphins,Signed,0%,24,767500,1150000
2008,Andrew Whitworth,LT,Bengals,Bengals,Signed,0%,27,5915000,6000000
2008,Jonathan Babineaux,43DT,Falcons,Falcons,Signed,0%,27,5000000,3000000
2008,Shaun Hill,QB,49ers,49ers,Signed,0%,28,2000000,1950000
2008,Ahmad Brooks,43DE,Bengals,49ers,Signed,0%,24,490000,0
2008,Domata Peko,43DT,Bengals,Bengals,Signed,0%,24,5024000,6000000
2008,Kyle Williams,43DT,Bills,Bills,Signed,0%,25,3675000,1750000
2008,Joe Berger,C,Cowboys,Cowboys,Signed,0%,26,927000,0
2008,Delanie Walker,TE,49ers,49ers,Signed,0%,24,2000000,1800000
2008,Derek Anderson,QB,Browns,Browns,Signed,0%,25,8000000,7000000
2008,Ryan Fitzpatrick,QB,Bengals,Bengals,Signed,0%,26,927000,0
2009,Michael Vick,QB,Falcons,Eagles,Signed,0%,29,3437500,1500000
2009,Brett Favre,QB,Jets,Vikings,Signed,0%,40,12500000,6000000
2009,Nnamdi Asomugha,CB,Raiders,Raiders,Signed,0%,28,14296000,28592000
2009,Richard Seymour,43DT,Patriots,Raiders,Signed,0%,,9326667,24600000
2009,Terrell Suggs,34OLB,Ravens,Ravens,Signed,0%,27,10416667,14100000
2009,Donovan McNabb,QB,Eagles,Eagles,Signed,0%,,12100000,15500000
2009,Alex Smith,QB,49ers,49ers,Signed,0%,25,3250000,4000000
2009,Karlos Dansby,ILB,Cardinals,Cardinals,Signed,0%,28,9678000,9678000
2009,LaDainian Tomlinson,RB,Chargers,Chargers,Signed,0%,30,5958333,7725000
2009,Eli Manning,QB,Giants,Giants,Signed,0%,28,16250000,20500000
2009,Orlando Pace,LT,Rams,Bears,Signed,0%,34,5000000,4400000
2009,Edgerrin James,RB,Cardinals,,SFA,0%,31,7500000,11500000
2009,Jordan Gross,LT,Panthers,Panthers,Signed,0%,29,9400000,24500000
2009,Albert Haynesworth,43DT,Titans,Redskins,Signed,0%,,11428571,39800000
2009,Philip Rivers,QB,Chargers,Chargers,Signed,0%,28,15300000,33350000
2009,Julius Peppers,43DE,Panthers,Panthers,Signed,0%,29,16683000,16683000
2009,Tony Gonzalez,TE,Chiefs,Falcons,Signed,0%,33,6250000,16000000
2009,Jay Cutler,QB,Broncos,Bears,Signed,0%,26,14456250,20000000
2009,Jason Peters,LT,Bills,Eagles,Signed,0%,27,12862500,10500000
2009,Kellen Winslow,TE,Browns,Buccaneers,Signed,0%,26,6637500,11891000
2009,Adam Jones,CB,Cowboys,,SFA,0%,26,3325000,0
2009,DeMarcus Ware,43DE,Cowboys,Cowboys,Signed,0%,27,13000000,25591176
2009,Joe Staley,LT,49ers,49ers,Signed,0%,25,6700000,11460000
2009,Roddy White,WR,Falcons,Falcons,Signed,0%,28,7868750,0
2009,Phil Dawson,K,Browns,Browns,Signed,0%,34,3175000,3175000
2009,Matt Bryant,K,Buccaneers,Falcons,Signed,0%,34,750000,0
2009,James Harrison,34OLB,Steelers,Steelers,Signed,0%,31,8755000,12550000
2009,Shane Lechler,P,Raiders,Raiders,Signed,0%,33,4000000,9000000
2009,DeAngelo Hall,CB,Redskins,Redskins,Signed,0%,26,9000000,22500000
2009,Ryan Fitzpatrick,QB,Bengals,Bills,Signed,0%,27,2750000,1170000
2009,Joe Berger,C,Cowboys,Dolphins,Signed,0%,27,1158333,325000
2009,Ty Law,CB,Jets,,UFA,0%,35,830000,0
2009,Mike Nugent,K,Jets,,UFA,0%,27,752500,1625000
2009,Luke McCown,QB,Buccaneers,Jaguars,Signed,0%,28,3750000,2500000
2009,Jahri Evans,RG,Saints,Saints,Signed,0%,26,2792000,0
2009,Darren Sproles,RB,Chargers,Chargers,Signed,0%,26,6621000,6621000
2009,Zach Strief,RT,Saints,Saints,Signed,0%,26,1545000,0
2009,Matt Cassel,QB,Patriots,Chiefs,Signed,0%,27,10500000,27750000
2009,Tramon Williams,CB,Packers,Packers,Signed,0%,26,900000,375000
2009,Brent Grimes,CB,Falcons,Falcons,Signed,0%,26,385000,0
2009,Donald Penn,LT,Buccaneers,Buccaneers,Signed,0%,26,2792000,0
