Player,Pos.,2018 Team,2019 Team,Type,Snaps,Age,Current APY,Guarantees
Drew Brees,QB,Saints,Saints,Signed,93.1%,39,25000000,27000000
Kirk Cousins,QB,Redskins,Vikings,Signed,100%,30,28000000,84000000
Aaron Rodgers,QB,Packers,Packers,Signed,94.2%,35,33500000,78700000
Matt Ryan,QB,Falcons,Falcons,Signed,98.9%,33,30000000,94500000
Ndamukong Suh,43DT,Dolphins,Rams,Signed,87.9%,31,14000000,14000000
Sam Bradford,QB,Vikings,,UFA,14.3%,31,17500000,22000000
Muhammad Wilkerson,34DE,Jets,Packers,Signed,10.8%,29,5000000,1500000
Alex Smith,QB,Chiefs,Redskins,Signed,63.8%,34,23500000,55000000
Trumaine Johnson,CB,Rams,Jets,Signed,59.9%,28,14500000,34000000
Jason Pierre-Paul,43DE,Giants,Buccaneers,Signed,89.1%,29,15000000,29000000
Tyrod Taylor,QB,Bills,Browns,Signed,16.9%,29,15250000,15500000
Mike Glennon,QB,Bears,Cardinals,Signed,2.8%,29,4000000,4000000
Robert Quinn,34OLB,Rams,Dolphins,Signed,58.3%,28,14253724,15618583
Demaryius Thomas,WR,Broncos,Texans,Signed,70.5%,31,14000000,35000000
Dez Bryant,WR,Cowboys,Saints,Signed,0%,30,1275000,0
Richard Sherman,CB,Seahawks,49ers,Signed,77.9%,30,9050000,3000000
Tyrann Mathieu,S,Cardinals,Texans,Signed,97.8%,26,7000000,4500000
Le'Veon Bell,RB,Steelers,Steelers,Signed,0%,26,14544000,0
Cordy Glenn,LT,Bills,Bengals,Signed,76.8%,29,12000000,26500000
Geno Atkins,43DT,Bengals,Bengals,Signed,70.4%,30,16300000,17000000
Tavon Austin,WR,Rams,Cowboys,Signed,10.8%,27,7000000,5000000
Alec Ogletree,ILB,Rams,Giants,Signed,80.6%,27,10500000,18907529
Corey Liuget,34DE,Chargers,Chargers,Signed,19.8%,28,5760000,2585000
Nate Solder,LT,Patriots,Giants,Signed,99.6%,30,15500000,34800000
Allen Hurns,WR,Jaguars,Cowboys,Signed,42.1%,27,5500000,2500000
Jimmy Graham,TE,Seahawks,Packers,Signed,74%,32,10000000,11000000
Jay Cutler,QB,Dolphins,,UFA,0%,35,10000000,5000000
Kyle Williams,43DT,Bills,Bills,Signed,64.7%,35,5500000,4500000
Michael Bennett,43DE,Seahawks,Eagles,Signed,68.9%,33,9833333,8000000
Jordy Nelson,WR,Packers,Raiders,Signed,80.9%,33,7100000,10000000
Aqib Talib,CB,Broncos,Rams,Signed,38.7%,32,9500000,11500000
Sean Smith,CB,Raiders,,SFA,0%,31,9500000,15000000
Donald Penn,LT,Raiders,Raiders,Signed,18.4%,35,6475000,4750000
Vinny Curry,43DE,Eagles,Buccaneers,Signed,42.7%,30,7666667,6500000
Damon Harrison,34DT,Giants,Lions,Signed,58.9%,30,9250000,20000000
Bruce Irvin,43DE,Raiders,Falcons,Signed,43.4%,31,3187500,0
Johnathan Hankins,34DE,Colts,Raiders,Signed,55.9%,26,2055000,370000
Mike Pouncey,C,Dolphins,Chargers,Signed,95.9%,29,7500000,10000000
Duane Brown,LT,Seahawks,Seahawks,Signed,99.8%,33,11500000,14250000
Brian Cushing,ILB,Texans,,SFA,0%,31,8750000,21000000
Michael Crabtree,WR,Raiders,Ravens,Signed,67.6%,31,7000000,8000000
David Amerson,CB,Raiders,Cardinals,Signed,26.2%,27,797500,0
Dontari Poe,43DT,Falcons,Panthers,Signed,51.7%,28,9333333,10800000
Eric Wood,C,Bills,,SFA,0%,32,8000000,9400000
Mike Iupati,LG,Cardinals,Cardinals,Signed,50.7%,31,5000000,5000000
Bennie Logan,34DT,Chiefs,Titans,Signed,21.8%,29,4000000,3750000
Luke Joeckel,LG,Seahawks,,UFA,0%,27,8000000,7000000
Carlos Dunlap,43DE,Bengals,Bengals,Signed,74.4%,29,13500000,18000000
Pernell McPhee,34OLB,Bears,Redskins,Signed,19.7%,30,1800000,350000
Greg Olsen,TE,Panthers,Panthers,Signed,40.6%,33,8550000,12115000
Joe Staley,LT,49ers,49ers,Signed,95.3%,34,8750000,0
Dwayne Allen,TE,Patriots,Patriots,Signed,32.3%,28,5450000,0
Adam Jones,CB,Bengals,,UFA,13.8%,35,7333333,6000000
Tamba Hali,34OLB,Chiefs,,SFA,0%,35,7333333,11500000
Johnathan Joseph,CB,Texans,Texans,Signed,75.8%,34,5000000,3900000
Mychal Kendricks,43OLB,Eagles,Seahawks,Signed,9.3%,28,790000,0
Coby Fleener,TE,Saints,,SFA,0%,30,7200000,14600000
Doug Martin,RB,Buccaneers,Raiders,Signed,34.6%,29,1475000,0
Cliff Avril,43DE,Seahawks,,SFA,0%,32,7125000,10000000
Jared Veldheer,RT,Cardinals,Broncos,Signed,65.5%,31,7000000,10500000
Dominique Rodgers-Cromartie,CB,Giants,Raiders,Signed,14.2%,32,1015000,0
Jeff Allen,RG,Texans,Chiefs,Signed,21.4%,28,790000,0
Josh Sitton,LG,Bears,Dolphins,Signed,6.7%,32,6750000,8450000
Nick Fairley,43DT,Saints,,SFA,0%,30,7000000,9000000
Prince Amukamara,CB,Bears,Bears,Signed,86.5%,29,9000000,18000000
Martellus Bennett,TE,Patriots,,SFA,0%,31,7000000,6300000
Brent Grimes,CB,Buccaneers,Buccaneers,Signed,75.5%,35,7000000,7000000
Delanie Walker,TE,Titans,Titans,Signed,4%,34,8500000,10570000
J.R. Sweezy,RG,Buccaneers,Seahawks,Signed,88.7%,29,1500000,100000
Robert Ayers,43DE,Buccaneers,,SFA,0%,33,6500000,7500000
Jason Witten,TE,Cowboys,,SFA,0%,36,6500000,0
Barry Church,S,Jaguars,,SFA,65.4%,30,6500000,12000000
Chris Ivory,RB,Jaguars,Bills,Signed,28.3%,30,2750000,2500000
DeMarco Murray,RB,Titans,,SFA,0%,30,6375000,9000000
Ezekiel Ansah,43DE,Lions,Lions,Signed,14.8%,29,17143000,17143000
Golden Tate,WR,Lions,Eagles,Signed,56.1%,30,6200000,10500000
Morgan Burnett,S,Packers,Steelers,Signed,37.3%,29,4783333,4250000
Menelik Watson,RG,Broncos,,SFA,0%,30,6125000,5500000
Julius Thomas,TE,Dolphins,,SFA,0%,30,6100000,3000000
George Iloka,S,Bengals,Vikings,Signed,12.7%,28,880000,90000
Josh McCown,QB,Jets,Jets,Signed,19.2%,39,10000000,5000000
Lawrence Timmons,43OLB,Dolphins,,SFA,0%,32,6000000,11000000
Terrelle Pryor,WR,Redskins,,UFA,27.1%,29,6000000,6000000
Haloti Ngata,43DT,Lions,Eagles,Signed,35.6%,34,2600000,2600000
"Dante Fowler, Jr.",43DE,Jaguars,Rams,Signed,57%,24,5872560,23490240
Andy Levitre,LG,Falcons,Falcons,Signed,7.7%,32,4500000,3500000
Mike Wallace,WR,Ravens,Eagles,Signed,6.7%,32,1915000,1915000
Aldon Smith,43DE,Raiders,,SFA,0%,29,5750000,0
Jeremy Lane,CB,Seahawks,,SFA,0%,28,5750000,7000000
Amari Cooper,WR,Raiders,Cowboys,Signed,78.6%,24,5665780,22663120
Joseph Barksdale,RT,Chargers,Cardinals,Signed,40.5%,30,915000,0
Willie Young,34OLB,Bears,,SFA,0%,33,5525000,8000000
Markus Wheaton,WR,Bears,,SFA,0.2%,27,5500000,6000000
Brandon Marshall,WR,Giants,,SFA,14.3%,34,5500000,5000000
Darrelle Revis,CB,Chiefs,,SFA,0%,33,5500000,0
Antonio Gates,TE,Chargers,Chargers,Signed,36.7%,38,2500000,1000000
Nick Foles,QB,Eagles,Eagles,Signed,32.7%,29,14500000,5000000
Jeremy Maclin,WR,Ravens,,SFA,0%,30,5500000,6000000
Sylvester Williams,34DT,Titans,Dolphins,Signed,35.9%,30,790000,0
Marcus Cooper,CB,Bears,Lions,Signed,3.9%,28,1500000,750000
Greg Robinson,LT,Lions,Browns,Signed,45.6%,26,790000,0
Richie Incognito,LG,Bills,,,0%,35,5250000,5450000
Chris Baker,43DT,Buccaneers,,SFA,0%,31,5250000,6000000
Terrell McClain,34DE,Redskins,Falcons,Signed,34.2%,30,1525000,550000
Blake Bortles,QB,Jaguars,Jaguars,Signed,74.7%,27,17483500,26500000
Ben Ijalana,LT,Jets,Jets,Signed,0%,29,2500000,500000
Casey Hayward,CB,Chargers,Chargers,Signed,98.1%,29,11416667,20000000
Kurt Coleman,S,Panthers,Saints,Signed,34.9%,30,5450000,6200000
Austin Howard,RT,Ravens,Redskins,Signed,3.6%,31,915000,0
Torrey Smith,WR,Eagles,Panthers,Signed,30.7%,29,5000000,5000000
Latavius Murray,RB,Vikings,Vikings,Signed,43.9%,28,4000000,3650000
Paul Posluszny,ILB,Jaguars,,UFA,0%,34,5000000,4450000
Mike Mitchell,S,Steelers,Colts,Signed,21.4%,31,915000,0
Rishard Matthews,WR,Titans,Jets,Signed,13.5%,29,790000,0
Ron Parker,S,Chiefs,Chiefs,Signed,87.2%,31,915000,0
Morris Claiborne,CB,Jets,Jets,Signed,89.5%,28,7000000,6850000
Sammy Watkins,WR,Rams,Chiefs,Signed,44.1%,25,16000000,30000000
Jamar Taylor,CB,Browns,Broncos,Signed,26.7%,28,790000,0
William Hayes,43DE,Dolphins,Dolphins,Signed,5.9%,33,4050000,4000000
Khalil Mack,43DE,Raiders,Bears,Signed,71.8%,27,23500000,60000000
Donald Stephenson,RT,Broncos,,UFA,0%,30,4666667,6000000
John Simon,43DE,Colts,Patriots,Signed,17.6%,28,1000000,0
Quintin Demps,S,Bears,,SFA,0%,33,4500000,4500000
Darren Sproles,RB,Eagles,Eagles,Signed,13.3%,35,1415000,1000000
Marshawn Lynch,RB,Raiders,Raiders,Signed,20.2%,32,4500000,3500000
C.J. Anderson,RB,Broncos,Rams,Signed,14.1%,27,790000,0
Derrick Shelby,43DE,Falcons,Falcons,Signed,12.3%,29,2000000,2000000
Brooks Reed,43DE,Falcons,Falcons,Signed,41.8%,31,3750000,3000000
Brandon LaFell,WR,Bengals,Raiders,Signed,22.3%,32,1750000,835000
D.J. Swearinger,S,Redskins,Cardinals,Signed,93%,27,4500000,6000000
Eddie Lacy,RB,Seahawks,,UFA,0%,28,4250000,2865000
Reggie Nelson,S,Raiders,Raiders,Signed,36%,35,1500000,1150000
Cordarrelle Patterson,WR,Raiders,Patriots,Signed,20.6%,27,4250000,5000000
Shawn Lauvao,LG,Redskins,Redskins,Signed,27.8%,31,1500000,300000
Kevin Minter,ILB,Bengals,Buccaneers,Signed,2.1%,28,790000,0
Adrian Clayborn,43DE,Falcons,Patriots,Signed,30.7%,30,5000000,5500000
Alan Branch,43DT,Patriots,,UFA,0%,34,4225000,3000000
Jake Matthews,LT,Falcons,Falcons,Signed,99.7%,26,14500000,25946000
Marcedes Lewis,TE,Jaguars,Packers,Signed,17.8%,34,2100000,500000
Levine Toilolo,TE,Falcons,Lions,Signed,49%,27,1500000,400000
Charles Johnson,43DE,Panthers,,SFA,0%,32,4000000,2500000
Jonathan Stewart,RB,Panthers,Giants,Signed,1.6%,31,3450000,2950000
Elvis Dumervil,43DE,49ers,,UFA,0%,34,4000000,1500000
Tahir Whitehead,43OLB,Lions,Raiders,Signed,99.7%,28,6333333,6075000
Eric Decker,WR,Titans,,UFA,0%,31,4000000,2500000
Matt Forte,RB,Jets,,,0%,33,4000000,9000000
Frank Gore,RB,Colts,Dolphins,Signed,36%,35,1105000,90000
T.J. Ward,S,Buccaneers,,UFA,0%,32,4000000,3000000
Malcolm Butler,CB,Patriots,Titans,Signed,79.8%,28,12250000,24000000
Kayvon Webster,CB,Rams,Texans,Signed,0.9%,27,2250000,500000
Orlando Scandrick,CB,Cowboys,Chiefs,Signed,66.9%,31,1415000,0
Eli Apple,CB,Giants,Saints,Signed,86%,23,3788080,15152320
D.J. Hayden,CB,Lions,Jaguars,Signed,44.5%,28,6333333,0
Dustin Colquitt,P,Chiefs,Chiefs,Signed,31.9%,36,2500000,2965000
Brian Robison,43DE,Vikings,,,0%,35,3750000,3900000
Jarius Wright,WR,Vikings,Panthers,Signed,50%,29,2500000,2000000
Mike Evans,WR,Buccaneers,Buccaneers,Signed,84.2%,25,16500000,38258000
Thomas Morstead,P,Saints,Saints,Signed,31.6%,32,3900000,9118000
Da'Norris Searcy,S,Titans,Panthers,Signed,7%,30,2500000,1300000
Ereck Flowers,RT,Giants,Jaguars,Signed,56.6%,24,705000,0
Evan Smith,LG,Buccaneers,Buccaneers,Signed,15.1%,32,4000000,1000000
Chad Henne,QB,Jaguars,Chiefs,Signed,1.2%,33,3350000,5115000
Nigel Bradham,43OLB,Eagles,Eagles,Signed,88.5%,29,8000000,8000000
Dwayne Harris,WR,Giants,Raiders,Signed,5.2%,31,1005000,60000
Connor Barwin,34OLB,Rams,Giants,Signed,26.4%,32,1750000,1680000
Brent Celek,TE,Eagles,,SFA,0%,33,3500000,2000000
Adrian Peterson,RB,Cardinals,Redskins,Signed,47.2%,33,1015000,0
Wesley Woodyard,ILB,Titans,Titans,Signed,68.1%,32,3825000,0
Julius Peppers,43DE,Panthers,Panthers,Signed,51%,38,5000000,2500000
Ahmad Brooks,34OLB,Packers,,UFA,0%,34,3500000,1750000
Todd Gurley,RB,Rams,Rams,Signed,75%,24,14375000,21950000
Justin Pugh,LG,Giants,Cardinals,Signed,36.4%,28,9005000,13000000
Nate Allen,S,Dolphins,,UFA,0%,31,3400000,3400000
Sheldon Richardson,43DT,Seahawks,Vikings,Signed,68.9%,28,8000000,7800000
Russell Shepard,WR,Panthers,Giants,Signed,17.7%,28,1250000,250000
Derek Newton,RT,Texans,Saints,Signed,4.6%,31,922500,0
John Jerry,RG,Giants,,,0%,32,3333333,3325000
Marquette King,P,Raiders,,SFA,8.1%,30,3300000,7550000
Star Lotulelei,43DT,Panthers,Bills,Signed,46.9%,29,10000000,18500000
Drew Stanton,QB,Cardinals,Browns,Signed,0%,34,3250000,4150000
Shane Vereen,RB,Giants,,UFA,0%,29,3250000,0
Terence Newman,CB,Vikings,,UFA,0%,40,3250000,1500000
Zane Beadles,LG,49ers,Falcons,Signed,26.3%,32,915000,0
Andre Smith,RT,Bengals,Bengals,Signed,47.8%,31,915000,0
Erik Walden,34OLB,Titans,,UFA,0%,33,3250000,300000
Kelvin Benjamin,WR,Bills,Chiefs,Signed,50.8%,27,790000,0
Dan Bailey,K,Cowboys,Vikings,Signed,27.5%,30,1750000,1750000
Mike Gillislee,RB,Patriots,,SFA,2.4%,28,3200000,3500000
Rex Burkhead,RB,Patriots,Patriots,Signed,13.6%,28,3250000,5500000
J.J. Wilcox,S,Steelers,Colts,Signed,5.8%,27,790000,0
Graham Gano,K,Panthers,Panthers,Signed,24.9%,31,4250000,8000000
Shea McClellin,43OLB,Patriots,,SFA,0%,29,3083333,3500000
Eric Ebron,TE,Lions,Colts,Signed,55.8%,25,6500000,6000000
Kenny Vaccaro,S,Saints,Titans,Signed,71.5%,27,1100000,0
Colt McCoy,QB,Redskins,Redskins,Signed,9.8%,32,3250000,2000000
DJ Fluker,RG,Giants,Seahawks,Signed,56.7%,27,1500000,300000
Marcus Gilchrist,S,Texans,Raiders,Signed,84.6%,30,4000000,3850000
Akeem Spence,43DT,Lions,Dolphins,Signed,61.1%,27,3000000,3500000
Chris Clark,RT,Texans,Panthers,Signed,77.4%,33,915000,0
Ryan Fitzpatrick,QB,Buccaneers,Buccaneers,Signed,38.4%,36,3300000,1300000
Rolando McClain,ILB,Cowboys,,UFA,0%,29,3000000,500000
Sebastian Janikowski,K,Raiders,Seahawks,Signed,33.5%,40,2015000,600000
Clinton McDonald,43DT,Buccaneers,Raiders,Signed,40.8%,31,1805000,120000
Zach Miller,TE,Bears,Bears,Signed,0%,34,790000,0
Keenan Robinson,43OLB,Giants,,UFA,0%,29,3000000,2000000
Jermon Bushrod,RG,Dolphins,Saints,Signed,35.4%,34,1015000,0
Marquise Goodwin,WR,49ers,49ers,Signed,41.3%,28,6283333,6450000
Paul Worrilow,43OLB,Lions,Eagles,Signed,0%,28,880000,90000
Adam Vinatieri,K,Colts,Colts,Signed,17.5%,46,3625000,2000000
Jason McCourty,CB,Browns,Patriots,Signed,80%,31,2375000,400000
Darius Butler,S,Colts,,UFA,0%,32,3000000,2500000
Sharrif Floyd,43DT,Vikings,,UFA,0%,27,2966640,13326900
Danny Woodhead,RB,Ravens,,SFA,0%,33,2933333,3250000
Danny Shelton,43DT,Browns,Patriots,Signed,31.1%,25,2925918,11703670
Corey Coleman,WR,Browns,Giants,Signed,12.8%,24,630000,0
Cornelius Washington,43DT,Lions,,SFA,0%,29,2912500,1500000
Josh Mauro,34DE,Cardinals,Giants,Signed,24.6%,27,880000,0
Taylor Lewan,LT,Titans,Titans,Signed,86.4%,27,16000000,34000000
Matt Bryant,K,Falcons,Falcons,Signed,13.3%,43,3500000,2000000
Eric Reid,S,49ers,Panthers,Signed,73.8%,27,1390000,0
Davon House,CB,Packers,Packers,Signed,2.8%,29,1005000,90000
Virgil Green,TE,Broncos,Chargers,Signed,67.6%,30,2866667,5900000
Kevin Huber,P,Bengals,Bengals,Signed,30.9%,33,2650000,1550000
Benson Mayowa,43DE,Cowboys,Cardinals,Signed,49.4%,27,1350000,310000
Vince Williams,ILB,Steelers,Steelers,Signed,71.3%,29,6200000,6700000
Joe Hawley,C,Buccaneers,,UFA,0%,30,2750000,1000000
Anthony Fasano,TE,Dolphins,,UFA,0%,34,2750000,1250000
Emmanuel Lamur,43OLB,Vikings,Jets,Signed,14%,29,880000,45000
Breno Giacomini,RT,Texans,,UFA,0%,33,2750000,750000
Isaiah Crowell,RB,Browns,Jets,Signed,33.3%,25,4000000,4000000
Dontrelle Inman,WR,Bears,Colts,Signed,32.7%,29,790000,0
Trey Burton,TE,Eagles,Bears,Signed,80%,27,8000000,18000000
Marcus Williams,CB,Texans,Bears,Signed,3%,27,790000,0
Taylor Gabriel,WR,Falcons,Bears,Signed,77.2%,27,6500000,14000000
Andrew Norwell,LG,Panthers,Jaguars,Signed,69.8%,27,13300000,30000000
Wesley Johnson,C,Jets,Dolphins,Signed,2.8%,27,790000,0
Todd Davis,ILB,Broncos,Broncos,Signed,78.2%,26,5000000,6000000
Jonathan Casillas,43OLB,Giants,,UFA,0%,31,2666667,2975000
Tank Carradine,43DE,49ers,,UFA,2.3%,29,2650000,2279684
